City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dikson,73.5069,80.5464,-37.04,93,16,1.71,RU,1673722065
1,hobart,-42.8794,147.3294,19.59,81,7,2.57,AU,1673722043
2,atuona,-9.8,-139.0333,25.33,77,32,4.67,PF,1673722065
3,punta arenas,-53.15,-70.9167,11.06,58,75,9.77,CL,1673722066
4,new norfolk,-42.7826,147.0587,19.4,63,72,0.89,AU,1673722066
5,kapaa,22.0752,-159.319,19.5,76,0,4.63,US,1673722067
6,hermanus,-34.4187,19.2345,21.0,74,58,6.15,ZA,1673722067
7,najran,17.4924,44.1277,20.36,39,9,1.71,SA,1673722067
8,port alfred,-33.5906,26.891,21.77,86,100,2.89,ZA,1673722068
9,longyearbyen,78.2186,15.6401,-2.09,86,100,12.35,SJ,1673721897
10,mataura,-46.1927,168.8643,12.43,86,9,0.65,NZ,1673722069
11,broken hill,-31.95,141.4333,19.91,57,25,8.45,AU,1673722069
12,kodiak,57.79,-152.4072,3.73,93,100,2.57,US,1673722069
13,yellowknife,62.456,-114.3525,-19.69,84,100,4.02,CA,1673721913
14,bambous virieux,-20.3428,57.7575,26.14,78,40,4.63,MU,1673722070
15,kahului,20.8947,-156.47,24.36,72,0,1.79,US,1673722070
16,bethel,41.3712,-73.414,1.4,68,100,6.17,US,1673722070
17,muhos,64.808,25.9931,-0.06,99,100,0.69,FI,1673722071
18,dingle,10.9995,122.6711,23.1,96,100,1.36,PH,1673722071
19,butaritari,3.0707,172.7902,26.48,81,87,6.04,KI,1673722072
20,castro,-24.7911,-50.0119,22.54,86,89,2.29,BR,1673722072
21,bredasdorp,-34.5322,20.0403,20.07,68,92,4.39,ZA,1673722066
22,ushuaia,-54.8,-68.3,10.81,54,75,3.6,AR,1673722072
23,uthal,25.8072,66.6219,13.06,17,0,1.46,PK,1673722073
24,gwanda,-20.9333,29.0,24.42,51,33,3.95,ZW,1673722073
25,dumas,35.8656,-101.9732,16.41,18,0,8.75,US,1673722074
26,lasa,46.6166,10.7002,2.49,74,100,1.1,IT,1673722074
27,beisfjord,68.3751,17.5988,-1.72,77,87,3.75,NO,1673722075
28,lindi,-10.0,39.7167,24.25,94,100,1.32,TZ,1673722075
29,novoplatnirovskaya,46.1065,39.4191,-0.19,90,10,4.52,RU,1673722075
30,namatanai,-3.6667,152.4333,25.91,84,72,2.0,PG,1673722076
31,cidreira,-30.1811,-50.2056,24.39,74,100,6.89,BR,1673722076
32,port-gentil,-0.7193,8.7815,24.98,94,20,3.09,GA,1673722077
33,cabo san lucas,22.8909,-109.9124,27.01,67,0,0.89,MX,1673722026
34,esperance,-33.8667,121.9,13.18,76,5,4.75,AU,1673722077
35,hasaki,35.7333,140.8333,11.23,79,100,10.64,JP,1673722077
36,teya,60.3778,92.6267,-18.2,99,100,1.09,RU,1673722078
37,norman wells,65.282,-126.8329,-23.98,77,100,0.0,CA,1673722078
38,avarua,-21.2078,-159.775,25.03,69,75,0.51,CK,1673722078
39,tuktoyaktuk,69.4541,-133.0374,-24.0,84,20,3.09,CA,1673722079
40,kozhva,65.1073,57.0459,-3.39,94,100,4.88,RU,1673721853
41,naze,28.3667,129.4833,18.51,92,91,7.27,JP,1673722079
42,balykshi,47.0667,51.8667,-7.0,49,0,10.0,KZ,1673722080
43,bathsheba,13.2167,-59.5167,28.34,74,40,7.2,BB,1673722080
44,honningsvag,70.9821,25.9704,-1.14,86,100,6.17,NO,1673722080
45,pocone,-16.2567,-56.6228,24.7,88,100,1.64,BR,1673722081
46,rawson,-43.3002,-65.1023,18.53,62,100,12.43,AR,1673722081
47,ponta do sol,32.6667,-17.1,18.17,74,64,0.68,PT,1673722081
48,pingzhuang,42.0372,119.2889,-15.27,34,0,1.7,CN,1673722082
49,sabha,27.0377,14.4283,12.17,51,0,2.89,LY,1673722082
50,itacoatiara,-3.1431,-58.4442,23.84,93,100,0.45,BR,1673722083
51,shakiso,5.75,38.9167,14.2,50,0,1.97,ET,1673722083
52,anadyr,64.75,177.4833,-14.72,78,100,11.0,RU,1673722084
53,nishihara,26.1842,127.7558,21.6,94,75,1.54,JP,1673722084
54,rikitea,-23.1203,-134.9692,25.55,74,52,6.49,PF,1673722085
55,nizhneangarsk,55.7833,109.55,-24.55,88,95,2.26,RU,1673722085
56,spirovo,57.419,34.9766,-0.89,93,100,4.54,RU,1673722086
57,guerrero negro,27.9769,-114.0611,19.4,50,99,4.56,MX,1673722086
58,bantogon,6.5333,124.0333,24.9,87,100,0.98,PH,1673722086
59,mbandaka,0.0487,18.2603,25.84,59,100,1.67,CD,1673722087
60,sisimiut,66.9395,-53.6735,-11.84,65,21,7.02,GL,1673722087
61,victoria,22.2855,114.1577,21.78,94,0,2.24,HK,1673722024
62,bahir dar,11.5936,37.3908,16.5,79,64,2.32,ET,1673722088
63,rio pomba,-21.2747,-43.1792,27.56,80,100,2.47,BR,1673722088
64,weinan,34.5036,109.5089,-2.8,87,100,2.93,CN,1673722089
65,grindavik,63.8424,-22.4338,-5.74,58,0,4.63,IS,1673722089
66,kysyl-syr,63.8986,122.7617,-57.96,100,82,1.53,RU,1673722089
67,busselton,-33.65,115.3333,13.37,69,2,6.0,AU,1673721938
68,teguldet,57.3064,88.1667,-12.4,94,100,4.9,RU,1673722090
69,qaanaaq,77.484,-69.3632,-15.54,67,100,3.66,GL,1673722090
70,homer,59.6425,-151.5483,3.21,87,100,1.54,US,1673722091
71,hilo,19.7297,-155.09,25.69,70,100,3.09,US,1673722091
72,samana,19.2056,-69.3369,30.12,70,40,4.12,DO,1673721913
73,vestmannaeyjar,63.4427,-20.2734,-4.45,80,20,2.57,IS,1673722092
74,ulaangom,49.9811,92.0667,-29.83,98,96,1.06,MN,1673722093
75,barrow,71.2906,-156.7887,-21.99,84,100,7.72,US,1673722093
76,khatanga,71.9667,102.5,-40.25,97,100,1.3,RU,1673722094
77,kruisfontein,-34.0033,24.7314,19.34,81,77,1.47,ZA,1673722094
78,hamilton,39.1834,-84.5333,2.73,65,75,5.14,US,1673721870
79,puerto ayora,-0.7393,-90.3518,27.98,87,66,3.13,EC,1673722095
80,pussi,59.36,27.0497,4.11,77,99,7.92,EE,1673722095
81,gram,55.2895,9.0491,8.23,93,75,9.77,DK,1673722095
82,egvekinot,66.3167,-179.1667,-21.99,83,93,8.57,RU,1673722096
83,karibib,-21.9333,15.8333,24.88,43,23,5.42,NA,1673722097
84,ust-ishim,57.6935,71.1665,-10.3,94,100,3.73,RU,1673722097
85,myaundzha,63.0494,147.1858,-35.86,98,100,1.5,RU,1673722098
86,cherskiy,68.75,161.3,-36.4,97,100,0.65,RU,1673722098
87,iqaluit,63.7506,-68.5145,-18.15,71,100,6.17,CA,1673722099
88,humberto de campos,-2.5983,-43.4611,29.92,61,95,3.95,BR,1673722099
89,shubarkuduk,49.1447,56.4872,-15.88,96,27,2.53,KZ,1673722100
90,akyab,20.15,92.9,19.03,64,0,4.6,MM,1673722100
91,ivybridge,50.3904,-3.9191,7.14,81,100,9.2,GB,1673722101
92,ayan,56.45,138.1667,-31.67,67,0,8.79,RU,1673722101
93,fort nelson,58.8053,-122.7002,-16.7,87,75,2.06,CA,1673721909
94,upernavik,72.7868,-56.1549,-14.95,65,100,2.52,GL,1673722102
95,georgetown,5.4112,100.3354,26.96,93,20,1.03,MY,1673721854
96,gluckstadt,53.7833,9.4167,9.14,96,100,9.32,DE,1673722103
97,ilulissat,69.2167,-51.1,-13.99,47,75,1.03,GL,1673722103
98,newcastle,-32.9272,151.7765,20.4,87,0,0.45,AU,1673721852
99,usakos,-22.0,15.6,24.78,48,19,4.33,NA,1673722104
100,henties bay,-22.116,14.2845,18.1,89,46,1.6,NA,1673722104
101,vavoua,7.3819,-6.4778,26.64,20,12,1.37,CI,1673722105
102,ola,59.5833,151.2833,-23.32,98,100,5.93,RU,1673722105
103,pevek,69.7008,170.3133,-30.9,99,10,1.06,RU,1673722105
104,hambantota,6.1241,81.1185,23.19,100,20,1.54,LK,1673722106
105,agadir,30.4202,-9.5982,19.25,53,0,2.07,MA,1673722107
106,beringovskiy,63.05,179.3167,-19.59,95,100,7.79,RU,1673722107
107,sassenheim,52.225,4.5222,11.09,88,75,8.75,NL,1673722107
108,albany,42.6001,-73.9662,-1.64,74,59,0.89,US,1673722004
109,verkhnyaya inta,65.9811,60.3094,-5.32,87,100,6.17,RU,1673722108
110,coquimbo,-29.9533,-71.3436,20.85,64,20,6.69,CL,1673722109
111,san patricio,28.017,-97.5169,20.93,39,0,5.0,US,1673722109
112,cuauhtemoc,28.4167,-106.8667,19.09,21,0,6.43,MX,1673722109
113,saskylakh,71.9167,114.0833,-43.21,100,69,1.2,RU,1673722110
114,lovington,32.944,-103.3485,18.35,20,45,3.13,US,1673722110
115,waipawa,-41.4122,175.5153,13.63,68,25,1.89,NZ,1673722111
116,navahrudak,53.6,25.8333,2.52,83,100,3.62,BY,1673722111
117,katsuura,35.1333,140.3,13.62,85,95,9.76,JP,1673722111
118,torbay,47.6666,-52.7314,12.43,88,100,10.29,CA,1673722112
119,bontang,0.1333,117.5,25.26,86,100,1.6,ID,1673722112
120,codrington,-38.2667,141.9667,15.86,63,99,7.59,AU,1673722113
121,hithadhoo,-0.6,73.0833,26.98,67,99,6.14,MV,1673722113
122,bengkulu,-3.8004,102.2655,23.96,88,100,1.62,ID,1673722113
123,sept-iles,50.2001,-66.3821,-9.97,51,75,4.12,CA,1673722114
124,arraial do cabo,-22.9661,-42.0278,30.98,70,0,9.77,BR,1673722114
125,flin flon,54.7682,-101.865,-12.09,79,100,3.09,CA,1673721930
126,clyde river,70.4692,-68.5914,-28.87,69,100,5.14,CA,1673722115
127,palmer,42.1584,-72.3287,1.37,70,100,7.72,US,1673722116
128,mahebourg,-20.4081,57.7,26.16,78,40,4.63,MU,1673722116
129,urusha,54.05,122.9,-32.82,99,100,0.45,RU,1673722117
130,east london,-33.0153,27.9116,22.52,88,100,1.54,ZA,1673722117
131,yar-sale,66.8333,70.8333,-26.45,99,72,2.83,RU,1673722118
132,severo-kurilsk,50.6789,156.125,-6.51,74,94,15.17,RU,1673722118
133,maningrida,-12.0667,134.2667,24.76,90,100,2.79,AU,1673722119
134,isangel,-19.55,169.2667,25.27,79,11,4.51,VU,1673722119
135,buraydah,26.326,43.975,17.25,53,3,2.31,SA,1673722119
136,saldanha,-33.0117,17.9442,19.03,80,11,11.3,ZA,1673722120
137,jamestown,42.097,-79.2353,-3.88,89,100,4.12,US,1673721943
138,freeport,40.6576,-73.5832,2.92,71,100,10.8,US,1673722121
139,kenora,49.8167,-94.4337,-6.46,86,100,4.12,CA,1673721833
140,vaini,-21.2,-175.2,25.09,100,20,0.0,TO,1673722121
141,kapuskasing,49.4169,-82.4331,-11.95,72,75,2.57,CA,1673722122
142,linxia,35.6003,103.2064,-11.05,71,100,1.44,CN,1673722122
143,nuuk,64.1835,-51.7216,-6.66,63,0,1.54,GL,1673722123
144,avallon,47.4833,3.9,10.75,84,100,9.61,FR,1673721928
145,srednekolymsk,67.45,153.6833,-35.76,99,100,0.65,RU,1673722123
146,bastia,42.6667,9.3333,12.94,85,0,2.06,FR,1673722124
147,vila franca do campo,37.7167,-25.4333,13.23,73,68,10.45,PT,1673722124
148,castlebar,53.85,-9.3,5.33,61,5,9.02,IE,1673722125
149,bluff,-46.6,168.3333,12.3,82,2,1.76,NZ,1673722125
150,shingu,33.7333,135.9833,12.9,90,45,2.88,JP,1673722125
151,ozernovskiy,51.5,156.5167,-6.75,70,100,14.83,RU,1673722126
152,vardo,70.3705,31.1107,-1.45,86,80,5.11,NO,1673722126
153,del rio,29.3627,-100.8968,17.29,24,0,8.23,US,1673722127
154,kaiu,59.0129,25.0551,3.77,77,100,6.11,EE,1673722127
155,maniitsoq,65.4167,-52.9,-10.8,62,53,4.75,GL,1673722127
156,quatre cocos,-20.2078,57.7625,26.06,75,90,5.85,MU,1673722128
157,awjilah,29.1081,21.2869,13.81,56,100,1.73,LY,1673722128
158,sioux lookout,50.1001,-91.917,-4.96,80,100,3.6,CA,1673722128
159,merauke,-8.4667,140.3333,25.76,88,79,1.77,ID,1673722129
160,hesla,24.0667,85.8833,15.58,59,0,2.34,IN,1673722129
161,puerto escondido,15.85,-97.0667,28.46,74,0,1.54,MX,1673721986
162,mnogovershinnyy,53.9353,139.9242,-33.59,88,17,4.13,RU,1673722130
163,sitka,57.0531,-135.33,5.94,87,100,0.0,US,1673722130
164,kaeo,-35.1,173.7833,16.85,93,19,3.87,NZ,1673722131
165,khatima,28.9167,79.9667,11.63,76,100,2.14,IN,1673722131
166,chumikan,54.7183,135.315,-31.22,85,10,7.42,RU,1673722132
167,chokurdakh,70.6333,147.9167,-36.07,98,100,1.49,RU,1673722132
168,san vicente,-26.6167,-54.1333,25.06,66,89,0.6,AR,1673722132
169,tokur,53.1333,132.9,-39.21,100,100,1.41,RU,1673722133
170,dukat,62.55,155.55,-33.57,97,100,2.41,RU,1673722133
171,cloquet,46.7216,-92.4594,-2.86,79,0,4.12,US,1673722133
172,ust-nera,64.5667,143.2,-35.69,99,100,2.21,RU,1673722134
173,waikuku,-43.3,172.6833,16.68,74,5,2.54,NZ,1673722134
174,kavieng,-2.5744,150.7967,27.7,77,87,4.49,PG,1673722134
175,sinnamary,5.3833,-52.95,25.2,86,100,4.39,GF,1673722135
176,zhezkazgan,47.8043,67.7144,-18.75,88,93,1.33,KZ,1673722135
177,morgan city,29.6994,-91.2068,12.78,53,0,2.57,US,1673722136
178,leiyang,26.4024,112.8591,2.78,83,100,3.59,CN,1673722136
179,pisco,-13.7,-76.2167,23.03,68,0,4.63,PE,1673722136
180,xambioa,-6.4111,-48.5364,29.23,70,55,1.14,BR,1673722137
181,hami,42.8,93.45,-13.49,43,5,0.34,CN,1673722137
182,kaitangata,-46.2817,169.8464,12.08,89,13,0.79,NZ,1673722137
183,anchorage,61.2181,-149.9003,-4.8,85,100,2.06,US,1673721906
184,tual,-5.6667,132.75,28.35,72,65,8.12,ID,1673722138
185,swan river,52.1058,-101.2676,-10.06,92,100,2.57,CA,1673722138
186,pangnirtung,66.1451,-65.7125,-26.0,76,100,1.54,CA,1673722139
187,bozhou,33.8772,115.7703,-3.94,55,90,4.8,CN,1673722139
188,kloulklubed,7.0419,134.2556,24.28,80,99,3.07,PW,1673722139
189,carnarvon,-24.8667,113.6333,24.21,79,5,9.72,AU,1673722140
190,touros,-5.1989,-35.4608,28.45,66,100,7.12,BR,1673722140
191,moerai,-22.4333,-151.3333,25.41,87,94,11.77,PF,1673722140
192,saint-philippe,-21.3585,55.7679,25.77,78,37,4.39,RE,1673722141
193,hattiesburg,31.3271,-89.2903,11.23,49,0,3.09,US,1673722141
194,luderitz,-26.6481,15.1594,20.32,67,0,10.36,NA,1673722142
195,douglas,41.3,-96.167,5.22,67,0,7.2,US,1673722142
196,richards bay,-28.783,32.0377,24.66,84,1,4.14,ZA,1673722142
197,quelimane,-17.8786,36.8883,28.97,70,75,3.09,MZ,1673722143
198,vero beach,27.6386,-80.3973,13.92,45,0,9.26,US,1673722144
199,tilichiki,60.4667,166.1,-21.45,95,100,5.19,RU,1673722144
200,saint george,37.1041,-113.5841,6.33,75,75,4.12,US,1673722145
201,dukhovshchina,55.1919,32.4111,-1.65,96,100,4.09,RU,1673722145
202,ancud,-41.8697,-73.8203,14.95,66,31,3.76,CL,1673722146
203,mehamn,71.0357,27.8492,-0.26,80,100,8.78,NO,1673722146
204,kvareli,41.9524,45.8151,-2.52,72,39,2.35,GE,1673722147
205,haines junction,60.7522,-137.5108,-14.44,97,100,0.59,CA,1673722147
206,saquena,-4.6667,-73.5167,27.28,84,100,0.56,PE,1673722147
207,bani walid,31.7566,13.9942,12.76,73,0,6.31,LY,1673722148
208,laguna,38.421,-121.4238,13.41,95,100,12.35,US,1673722149
209,zavetnoye,47.1194,43.8903,-4.61,77,100,9.51,RU,1673722149
210,narsaq,60.9167,-46.05,-9.88,94,99,0.93,GL,1673722149
211,sosnovo-ozerskoye,52.5249,111.5418,-27.69,98,100,3.82,RU,1673722150
212,manzanillo,20.3433,-77.1167,27.16,48,9,4.64,CU,1673721921
213,russkaya polyana,49.417,31.9201,-0.85,82,100,2.01,UA,1673722150
214,tres arroyos,-38.3739,-60.2798,34.6,14,6,1.65,AR,1673722078
215,ust-tsilma,65.441,52.1498,-1.86,94,100,4.01,RU,1673722151
216,cape town,-33.9258,18.4232,20.62,68,0,11.32,ZA,1673722151
217,roma,43.2128,-75.4557,-2.57,73,75,3.09,US,1673722152
218,rosita,13.9268,-84.4032,25.56,74,38,3.94,NI,1673722152
219,lingao,19.9103,109.6859,20.08,93,0,2.65,CN,1673722153
220,dovbysh,50.3733,27.9874,1.16,99,100,2.08,UA,1673722153
221,alice springs,-23.7,133.8833,20.75,88,0,2.06,AU,1673722154
222,sola,-13.8833,167.55,25.37,85,100,4.42,VU,1673722154
223,wajid,3.8093,43.2471,26.51,31,4,5.19,SO,1673722154
224,vallenar,-28.5708,-70.7581,30.62,26,0,5.44,CL,1673722155
225,tura,25.5198,90.2201,15.58,59,71,0.64,IN,1673722155
226,abu dhabi,24.4667,54.3667,21.01,73,0,2.57,AE,1673721900
227,san carlos de bariloche,-41.1456,-71.3082,20.69,34,40,8.23,AR,1673722098
228,te anau,-45.4167,167.7167,13.88,83,15,0.46,NZ,1673722156
229,ngunguru,-35.6167,174.5,18.47,73,66,7.31,NZ,1673722156
230,manono,-7.3,27.4167,21.37,93,100,0.43,CD,1673722157
231,ifanadiana,-21.3,47.6333,20.22,98,61,0.42,MG,1673722157
232,nassau,40.7507,-73.5829,2.75,73,100,7.72,US,1673722158
233,tecpan,14.7623,-90.9947,16.61,48,6,2.86,GT,1673722158
234,kismayo,-0.3582,42.5454,25.43,84,41,6.81,SO,1673722158
235,jiayuguan,39.8167,98.3,-15.59,82,71,2.0,CN,1673722159
236,kangaatsiaq,68.3065,-53.4641,-17.22,76,100,4.98,GL,1673722159
237,roald,62.5833,6.1333,0.97,80,0,2.57,NO,1673722160
238,abadan,30.3392,48.3043,16.97,88,40,4.12,IR,1673722160
239,comodoro rivadavia,-45.8667,-67.5,16.92,59,75,5.66,AR,1673722161
240,dutlwe,-23.9833,23.9,27.02,28,23,4.38,BW,1673722161
241,chimoio,-19.1164,33.4833,25.92,69,40,2.62,MZ,1673722161
242,los llanos de aridane,28.6585,-17.9182,18.96,64,75,3.6,ES,1673722162
243,kuching,1.55,110.3333,27.23,93,20,1.03,MY,1673722162
244,souillac,-20.5167,57.5167,26.21,78,40,4.63,MU,1673722163
245,los barrios,36.1848,-5.4921,14.91,77,20,1.03,ES,1673722163
246,victor harbor,-35.5667,138.6167,17.22,75,55,1.79,AU,1673722164
247,sovetskiy,61.3614,63.5842,-10.36,93,100,2.37,RU,1673722165
248,charcas,23.1333,-101.1167,16.62,15,0,3.49,MX,1673722165
249,alofi,-19.0595,-169.9187,21.94,100,32,0.51,NU,1673722165
250,chuy,-33.6971,-53.4616,26.37,35,0,5.47,UY,1673722166
251,qujing,25.4833,103.7833,4.16,77,0,1.54,CN,1673722166
252,katobu,-4.9408,122.5276,24.3,90,100,0.85,ID,1673722167
253,adana,36.985,35.2881,10.29,81,75,3.09,TR,1673721991
254,goryachiy klyuch,44.6308,39.13,-4.21,76,0,1.41,RU,1673722167
255,bogovarovo,58.9785,47.0246,-5.17,93,100,5.27,RU,1673722168
256,acapulco,16.8634,-99.8901,29.19,55,0,3.28,MX,1673722141
257,faanui,-16.4833,-151.75,24.66,86,100,5.06,PF,1673722168
258,wattignies,50.5864,3.0439,10.99,76,100,2.24,FR,1673722168
259,cortez,37.3489,-108.5859,7.24,49,0,0.0,US,1673722169
260,hobyo,5.3505,48.5268,25.35,75,5,8.42,SO,1673722169
261,batticaloa,7.7102,81.6924,24.56,81,87,3.23,LK,1673722170
262,daru,-9.0763,143.2092,25.07,87,79,0.79,PG,1673722170
263,sao filipe,14.8961,-24.4956,24.23,64,1,3.41,CV,1673722170
264,cayenne,4.9333,-52.3333,25.02,83,100,2.06,GF,1673722171
265,ternate,0.8,127.4,26.63,79,99,0.42,ID,1673722171
266,okaihau,-35.3167,173.7833,15.29,93,17,1.35,NZ,1673722171
267,vila velha,-20.3297,-40.2925,28.97,77,20,8.23,BR,1673722172
268,bollnas,61.3482,16.3946,-3.47,98,89,0.34,SE,1673722172
